,White_Female,Black_Female,White_Male,Black_Male,range
OVERLAP,0.44771173105033046,0.4173089467839556,0.4571117951026016,0.4047752783371621,0.05233651676543949
R::data,0.2081892333609057,0.18312971101866699,0.19496541638083767,0.17113890016524766,0.037050333195658036
R::electrical,0.1074587984105916,0.11874976409855532,0.12187893844861125,0.11969807960735045,0.014420140038019655
J::salesforce,0.03343548047023633,0.04276890514632055,0.04676763508125328,0.04751657835727396,0.014081097887037625
R::testing,0.06080663565627123,0.058549745239486924,0.054801715370460365,0.06718930089304334,0.012387585522582976
J::azure,0.03381450869540155,0.034177202276083965,0.03108590020040605,0.022635284704302292,0.011541917571781673
R::server,0.03602015892321884,0.041276081749278125,0.04331517270424918,0.044878030775796086,0.008857871852577248
R::test,0.0388748923917129,0.0462096291749718,0.04164637720319147,0.04753898830814811,0.008664095916435209
J::crowe,0.008008784817599198,0.0,0.008260633396768986,0.0,0.008260633396768986
J::accounting,0.07739360950814908,0.08523295512649216,0.0784522313923212,0.07926904588228428,0.007839345618343083
J::business,0.029858403397555664,0.03347031369831407,0.02858543071054627,0.026312725530599525,0.007157588167714543
J::java,0.017782899139838722,0.016097206992566223,0.017635760471839214,0.02310670296091095,0.007009495968344728
R::tax,0.013418545386887132,0.009621878070189107,0.016086132205650795,0.014344997076797393,0.006464254135461688
R::patient,0.009217658221626719,0.007616143470205712,0.010154092322880602,0.004097243049273352,0.00605684927360725
R::bentley,0.0025411142309796483,0.0,0.0026210056720846913,0.005996617732095287,0.005996617732095287
