name,group,race,gender,coef
Allison,White_Female,White,Female,-0.030025655229433866
Anne,White_Female,White,Female,0.2881167634630993
Carrie,White_Female,White,Female,-0.24998618856930205
Emily,White_Female,White,Female,0.06769624180458568
Jill,White_Female,White,Female,-0.2798222025315172
Laurie,White_Female,White,Female,0.43539118310636743
Kristen,White_Female,White,Female,0.27869129009854465
Meredith,White_Female,White,Female,-0.33357812497491107
Sarah,White_Female,White,Female,0.43834999951874976
Aisha,Black_Female,Black,Female,-0.14210327961884228
Ebony,Black_Female,Black,Female,0.32495985704841984
Keisha,Black_Female,Black,Female,0.2494179847573917
Kenya,Black_Female,Black,Female,-0.27167910421801195
Latonya,Black_Female,Black,Female,0.0176372681922411
Lakisha,Black_Female,Black,Female,0.5465535643385956
Latoya,Black_Female,Black,Female,-0.10899038106340589
Tamika,Black_Female,Black,Female,-0.0351249423503735
Tanisha,Black_Female,Black,Female,-0.5510358552030766
Brad,White_Male,White,Male,0.13623117158323056
Brendan,White_Male,White,Male,-0.5011320215887612
Geoffrey,White_Male,White,Male,0.3516471351818773
Greg,White_Male,White,Male,0.2320284974328868
Brett,White_Male,White,Male,-0.3487126417960047
Jay,White_Male,White,Male,0.32365381109920055
Matthew,White_Male,White,Male,-0.3691840375520293
Neil,White_Male,White,Male,0.6349346774257961
Darnell,Black_Male,Black,Male,-0.4126122234560732
Hakim,Black_Male,Black,Male,-0.009153764382347907
Jermaine,Black_Male,Black,Male,-0.3469276645750067
Kareem,Black_Male,Black,Male,-0.41243944035695707
Jamal,Black_Male,Black,Male,-0.21654799168737743
Leroy,Black_Male,Black,Male,0.10505568424684593
Rasheed,Black_Male,Black,Male,-0.8643975550508702
Tyrone,Black_Male,Black,Male,0.18833201587523427
